,Pořadí na kandidátce v 2002,"Příjmení, jméno",Tituly 2002,Věk 2002,Navrhující strana,Politická příslušnost,Hlasy abs. 2002,Hlasy v % 2002,Pořadí zvolení v 2002,Mandát v 2002,Pořadí na kandidátce v 2006,Tituly 2006,Věk 2006,Hlasy abs. 2006,Hlasy v % 2006,Pořadí zvolení v 2006,Mandát v 2006,Pořadí na kandidátce v 2010,Tituly 2010,Věk 2010,Hlasy abs. 2010,Hlasy v % 2010,Pořadí zvolení v 2010,Mandát v 2010,Pořadí na kandidátce v 2014,Tituly 2014,Věk 2014,Hlasy abs. 2014,Hlasy v % 2014,Pořadí zvolení v 2014,Mandát v 2014,Pořadí na kandidátce v 2018,Tituly 2018,Věk 2018,Hlasy abs. 2018,Hlasy v % 2018,Pořadí zvolení v 2018,Mandát v 2018
112,4.0,Hrubeš František,Dr.,50.0,KSČM,KSČM,5964.0,2.29,4.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,9.0,Hrubý Jaroslav,Ing.,55.0,KDU-ČSL,KDU-ČSL,2842.0,1.95,9.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,7.0,Hrubý Karel,Ing.,54.0,KDU-ČSL,KDU-ČSL,3062.0,2.1,7.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,36.0,Hubač Rudolf,,62.0,US-DEU,US-DEU,2111.0,1.77,33.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,11.0,Hus Miroslav,PhDr.,48.0,PVP,PVP,4465.0,2.43,8.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,23.0,Hyťha Martin,,19.0,SNK ED,BEZPP,2381.0,2.0,20.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,41.0,Chalupný Michal,Bc.,33.0,ČSSD,ČSSD,7871.0,1.94,31.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,19.0,Chán Emanuel,Ing.,52.0,ČSSD,ČSSD,8623.0,2.13,9.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,40.0,Chánová Eva,,54.0,ČSSD,ČSSD,7852.0,1.94,30.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,34.0,Charvátová Ludmila,,42.0,ODA,BEZPP,438.0,1.68,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
